row_id,payment_id,settlement_id,amount_paise,fee_paise,tax_paise,captured_at,ingested_at
pay-000090,pay_1001301,S-10013,571404,11428,2057,2026-08-13T23:04:00Z,2026-08-14T22:15:00Z
pay-000091,pay_1001302,S-10013,2218266,44365,7986,2026-08-13T22:04:00Z,2026-08-14T22:15:00Z
pay-000092,pay_1001303,S-10013,72379,1448,261,2026-08-13T07:04:00Z,2026-08-14T22:15:00Z
pay-000093,pay_1001304,S-10013,265304,5306,955,2026-08-13T08:04:00Z,2026-08-14T22:15:00Z
pay-000094,pay_1001400,S-10014,1235229,24705,4447,2026-08-14T11:12:00Z,2026-08-15T09:00:00Z
pay-000095,pay_1001401,S-10014,781023,15620,2812,2026-08-14T08:12:00Z,2026-08-15T09:00:00Z
pay-000096,pay_1001402,S-10014,1192918,23858,4294,2026-08-13T09:12:00Z,2026-08-15T09:00:00Z
pay-000097,pay_1001403,S-10014,957834,19157,3448,2026-08-13T13:12:00Z,2026-08-15T09:00:00Z
pay-000098,pay_1001500,S-10015,1688192,33764,6078,2026-08-01T02:27:00Z,2026-08-02T20:11:00Z
pay-000099,pay_1001501,S-10015,699792,13996,2519,2026-08-02T12:27:00Z,2026-08-02T20:11:00Z
pay-000100,pay_1001502,S-10015,380218,7604,1369,2026-08-01T02:27:00Z,2026-08-02T20:11:00Z
pay-000101,pay_1001503,S-10015,2328938,46579,8384,2026-08-01T14:27:00Z,2026-08-02T20:11:00Z
pay-000102,pay_1001600,S-10016,1421880,28438,5119,2026-08-15T23:03:00Z,2026-08-17T11:21:00Z
pay-000103,pay_1001601,S-10016,905065,18101,3258,2026-08-17T08:03:00Z,2026-08-17T11:21:00Z
pay-000104,pay_1001602,S-10016,994431,19889,3580,2026-08-16T01:03:00Z,2026-08-17T11:21:00Z
pay-000105,pay_1001603,S-10016,980706,19614,3531,2026-08-17T08:03:00Z,2026-08-17T11:21:00Z
pay-000106,pay_1001604,S-10016,1917287,38346,6902,2026-08-17T01:03:00Z,2026-08-17T11:21:00Z
pay-000107,pay_1001605,S-10016,878005,17560,3161,2026-08-16T10:03:00Z,2026-08-17T11:21:00Z
pay-000108,pay_1001606,S-10016,2385972,47719,8589,2026-08-16T04:03:00Z,2026-08-17T11:21:00Z
pay-000109,pay_1001607,S-10016,1324691,26494,4769,2026-08-15T21:03:00Z,2026-08-17T11:21:00Z
pay-000110,pay_1001608,S-10016,1596070,31921,5746,2026-08-15T12:03:00Z,2026-08-17T11:21:00Z
pay-000111,pay_1001609,S-10016,692200,13844,2492,2026-08-15T20:03:00Z,2026-08-17T11:21:00Z
pay-000112,pay_1001700,S-10017,2184868,43697,7865,2026-08-18T03:48:00Z,2026-08-19T04:32:00Z
pay-000113,pay_1001701,S-10017,2329826,46597,8387,2026-08-18T07:48:00Z,2026-08-19T04:32:00Z
pay-000114,pay_1001702,S-10017,2145349,42907,7723,2026-08-18T12:48:00Z,2026-08-19T04:32:00Z
pay-000115,pay_1001703,S-10017,1011190,20224,3640,2026-08-17T11:48:00Z,2026-08-19T04:32:00Z
pay-000116,pay_1001704,S-10017,438072,8761,1577,2026-08-17T12:48:00Z,2026-08-19T04:32:00Z
pay-000117,pay_1001800,S-10018,337679,6754,1216,2026-08-17T19:58:00Z,2026-08-19T06:11:00Z
pay-000118,pay_1001801,S-10018,2402917,48058,8650,2026-08-17T11:58:00Z,2026-08-19T06:11:00Z
pay-000119,pay_1001802,S-10018,2288391,45768,8238,2026-08-18T14:58:00Z,2026-08-19T06:11:00Z
pay-000120,pay_1001803,S-10018,2076390,41528,7475,2026-08-18T01:58:00Z,2026-08-19T06:11:00Z
pay-000121,pay_1001804,S-10018,1569189,31384,5649,2026-08-18T22:58:00Z,2026-08-19T06:11:00Z
pay-000122,pay_1002000,S-10020,197981,3960,713,2026-08-20T12:03:00Z,2026-08-21T21:48:00Z
pay-000123,pay_1002001,S-10020,1816707,36334,6540,2026-08-20T03:03:00Z,2026-08-21T21:48:00Z
pay-000124,pay_1002002,S-10020,50857,1017,183,2026-08-21T01:03:00Z,2026-08-21T21:48:00Z
pay-000125,pay_1002003,S-10020,2221914,44438,7999,2026-08-19T19:03:00Z,2026-08-21T21:48:00Z
pay-000126,pay_1002004,S-10020,487459,9749,1755,2026-08-19T18:03:00Z,2026-08-21T21:48:00Z
pay-000127,pay_1002005,S-10020,2355474,47109,8480,2026-08-19T20:03:00Z,2026-08-21T21:48:00Z
pay-000128,pay_1002100,S-10021,2497437,49949,8991,2026-08-21T10:00:00Z,2026-08-22T10:32:00Z
pay-000129,pay_1002101,S-10021,460722,9214,1659,2026-08-20T17:00:00Z,2026-08-22T10:32:00Z
pay-000130,pay_1002102,S-10021,1974496,39490,7108,2026-08-22T01:00:00Z,2026-08-22T10:32:00Z
pay-000131,pay_1002200,S-10022,714902,14298,2574,2026-08-22T21:11:00Z,2026-08-23T19:40:00Z
pay-000132,pay_1002201,S-10022,1625430,32509,5852,2026-08-22T06:11:00Z,2026-08-23T19:40:00Z
pay-000133,pay_1002202,S-10022,1426916,28538,5137,2026-08-22T15:11:00Z,2026-08-23T19:40:00Z
pay-000134,pay_1002203,S-10022,803739,16075,2894,2026-08-23T08:11:00Z,2026-08-23T19:40:00Z
pay-000135,pay_1002204,S-10022,1168227,23365,4206,2026-08-23T08:11:00Z,2026-08-23T19:40:00Z
pay-000136,pay_1002300,S-10023,648852,12977,2336,2026-08-23T20:57:00Z,2026-08-25T07:42:00Z
pay-000137,pay_1002301,S-10023,2258170,45163,8129,2026-08-23T23:57:00Z,2026-08-25T07:42:00Z
pay-000138,pay_1002302,S-10023,345730,6915,1245,2026-08-22T23:57:00Z,2026-08-25T07:42:00Z
pay-000139,pay_1002303,S-10023,2080763,41615,7491,2026-08-24T12:57:00Z,2026-08-25T07:42:00Z
pay-000140,pay_1002304,S-10023,1802769,36055,6490,2026-08-23T09:57:00Z,2026-08-25T07:42:00Z
pay-000141,pay_1002305,S-10023,192204,3844,692,2026-08-24T15:57:00Z,2026-08-25T07:42:00Z
pay-000142,pay_1002400,S-10024,2488222,49764,8958,2026-08-02T21:00:00Z,2026-08-03T00:06:00Z
pay-000143,pay_1002401,S-10024,941637,18833,3390,2026-08-01T05:00:00Z,2026-08-03T00:06:00Z
pay-000144,pay_1002402,S-10024,1656448,33129,5963,2026-08-02T05:00:00Z,2026-08-03T00:06:00Z
pay-000145,pay_1002500,S-10025,2397679,47954,8632,2026-08-12T01:45:00Z,2026-08-14T05:04:00Z
pay-000146,pay_1002501,S-10025,1064859,21297,3833,2026-08-13T02:45:00Z,2026-08-14T05:04:00Z
pay-000147,pay_1002502,S-10025,342337,6847,1232,2026-08-12T14:45:00Z,2026-08-14T05:04:00Z
pay-000148,pay_1002503,S-10025,890331,17807,3205,2026-08-12T00:45:00Z,2026-08-14T05:04:00Z
pay-000149,pay_1002504,S-10025,2020482,40410,7274,2026-08-13T17:45:00Z,2026-08-14T05:04:00Z
pay-000150,pay_1002505,S-10025,1827602,36552,6579,2026-08-13T17:45:00Z,2026-08-14T05:04:00Z
pay-000151,pay_1002506,S-10025,817793,16356,2944,2026-08-12T08:45:00Z,2026-08-14T05:04:00Z
pay-000152,pay_1002600,S-10026,692856,13857,2494,2026-08-05T19:14:00Z,2026-08-07T00:46:00Z
pay-000153,pay_1002601,S-10026,763156,15263,2747,2026-08-05T08:14:00Z,2026-08-07T00:46:00Z
pay-000154,pay_1002602,S-10026,322067,6441,1159,2026-08-06T08:14:00Z,2026-08-07T00:46:00Z
pay-000155,pay_1002603,S-10026,755683,15114,2721,2026-08-06T02:14:00Z,2026-08-07T00:46:00Z
pay-000156,pay_1002604,S-10026,1987337,39747,7154,2026-08-05T00:14:00Z,2026-08-07T00:46:00Z
pay-000157,pay_1002605,S-10026,2176782,43536,7836,2026-08-06T13:14:00Z,2026-08-07T00:46:00Z
pay-000158,pay_1002606,S-10026,2180751,43615,7851,2026-08-05T16:14:00Z,2026-08-07T00:46:00Z
pay-000159,pay_1002607,S-10026,1778871,35577,6404,2026-08-04T23:14:00Z,2026-08-07T00:46:00Z
pay-000160,pay_1002608,S-10026,497941,9959,1793,2026-08-05T17:14:00Z,2026-08-07T00:46:00Z
pay-000161,pay_1002700,S-10027,739832,14797,2663,2026-08-05T05:33:00Z,2026-08-05T22:22:00Z
pay-000162,pay_1002701,S-10027,365537,7311,1316,2026-08-05T09:33:00Z,2026-08-05T22:22:00Z
pay-000163,pay_1002702,S-10027,129671,2593,467,2026-08-05T10:33:00Z,2026-08-05T22:22:00Z
pay-000164,pay_1002703,S-10027,1381857,27637,4975,2026-08-04T08:33:00Z,2026-08-05T22:22:00Z
pay-000165,pay_1002704,S-10027,837588,16752,3015,2026-08-03T23:33:00Z,2026-08-05T22:22:00Z
pay-000166,pay_1002705,S-10027,2039836,40797,7343,2026-08-05T12:33:00Z,2026-08-05T22:22:00Z
pay-000167,pay_1002706,S-10027,2420626,48413,8714,2026-08-04T00:33:00Z,2026-08-05T22:22:00Z
pay-000168,pay_1002707,S-10027,466826,9337,1681,2026-08-05T13:33:00Z,2026-08-05T22:22:00Z
pay-000169,pay_1002708,S-10027,950898,19018,3423,2026-08-03T20:33:00Z,2026-08-05T22:22:00Z
pay-000170,pay_1002800,S-10028,545517,10910,1964,2026-08-04T23:22:00Z,2026-08-06T16:42:00Z
pay-000171,pay_1002801,S-10028,516974,10339,1861,2026-08-06T03:22:00Z,2026-08-06T16:42:00Z
pay-000172,pay_1002802,S-10028,393713,7874,1417,2026-08-06T07:22:00Z,2026-08-06T16:42:00Z
pay-000173,pay_1002803,S-10028,2356859,47137,8485,2026-08-05T18:22:00Z,2026-08-06T16:42:00Z
pay-000174,pay_1002804,S-10028,373336,7467,1344,2026-08-04T14:22:00Z,2026-08-06T16:42:00Z
pay-000175,pay_1002805,S-10028,2068749,41375,7448,2026-08-05T11:22:00Z,2026-08-06T16:42:00Z
pay-000176,pay_1002806,S-10028,170011,3400,612,2026-08-06T04:22:00Z,2026-08-06T16:42:00Z
pay-000177,pay_1002807,S-10028,558430,11169,2010,2026-08-06T11:22:00Z,2026-08-06T16:42:00Z
pay-000178,pay_1002808,S-10028,2328885,46578,8384,2026-08-05T16:22:00Z,2026-08-06T16:42:00Z
pay-000179,pay_1002809,S-10028,1134452,22689,4084,2026-08-05T15:22:00Z,2026-08-06T16:42:00Z
pay-000180,pay_1002810,S-10028,1740543,34811,6266,2026-08-04T17:22:00Z,2026-08-06T16:42:00Z
pay-000181,pay_1002900,S-10029,1779817,35596,6407,2026-08-06T01:47:00Z,2026-08-07T10:09:00Z
pay-000182,pay_1002901,S-10029,658826,13177,2372,2026-08-06T17:47:00Z,2026-08-07T10:09:00Z
pay-000183,pay_1002902,S-10029,624453,12489,2248,2026-08-06T19:47:00Z,2026-08-07T10:09:00Z
pay-000184,pay_1002903,S-10029,1356322,27126,4883,2026-08-05T17:47:00Z,2026-08-07T10:09:00Z
pay-000185,pay_1002904,S-10029,517152,10343,1862,2026-08-06T23:47:00Z,2026-08-07T10:09:00Z
pay-000186,pay_1002905,S-10029,2240502,44810,8066,2026-08-05T16:47:00Z,2026-08-07T10:09:00Z
pay-000187,pay_1003000,S-10030,51705,1034,186,2026-08-07T05:30:00Z,2026-08-08T10:01:00Z
pay-000188,pay_1003001,S-10030,2457730,49155,8848,2026-08-07T23:30:00Z,2026-08-08T10:01:00Z
pay-000189,pay_1003002,S-10030,66239,1325,239,2026-08-07T06:30:00Z,2026-08-08T10:01:00Z
pay-000190,pay_1003100,S-10031,379753,7595,1367,2026-08-19T10:13:00Z,2026-08-19T21:59:00Z
pay-000191,pay_1003101,S-10031,402135,8043,1448,2026-08-17T23:13:00Z,2026-08-19T21:59:00Z
pay-000192,pay_1003102,S-10031,2327199,46544,8378,2026-08-17T22:13:00Z,2026-08-19T21:59:00Z
pay-000193,pay_1003103,S-10031,2298556,45971,8275,2026-08-17T19:13:00Z,2026-08-19T21:59:00Z
pay-000194,pay_1003104,S-10031,2135570,42711,7688,2026-08-17T18:13:00Z,2026-08-19T21:59:00Z
pay-000195,pay_1003105,S-10031,415066,8301,1494,2026-08-19T04:13:00Z,2026-08-19T21:59:00Z
pay-000196,pay_1003106,S-10031,2450568,49011,8822,2026-08-18T04:13:00Z,2026-08-19T21:59:00Z
pay-000197,pay_1003107,S-10031,577755,11555,2080,2026-08-18T00:13:00Z,2026-08-19T21:59:00Z
pay-000198,pay_1003108,S-10031,669091,13382,2409,2026-08-18T13:13:00Z,2026-08-19T21:59:00Z
pay-000199,pay_1003109,S-10031,2411977,48240,8683,2026-08-18T03:13:00Z,2026-08-19T21:59:00Z
pay-000200,pay_1003110,S-10031,340126,6803,1225,2026-08-18T18:13:00Z,2026-08-19T21:59:00Z
pay-000201,pay_1003111,S-10031,506540,10131,1824,2026-08-18T19:13:00Z,2026-08-19T21:59:00Z
pay-000202,pay_1003200,S-10032,856667,17133,3084,2026-08-09T14:37:00Z,2026-08-10T16:36:00Z
pay-000203,pay_1003201,S-10032,1382979,27660,4979,2026-08-08T20:37:00Z,2026-08-10T16:36:00Z
pay-000204,pay_1003202,S-10032,1343063,26861,4835,2026-08-09T23:37:00Z,2026-08-10T16:36:00Z
pay-000205,pay_1003203,S-10032,100735,2015,363,2026-08-08T13:37:00Z,2026-08-10T16:36:00Z
pay-000206,pay_1003204,S-10032,52391,1048,189,2026-08-09T01:37:00Z,2026-08-10T16:36:00Z
pay-000207,pay_1003205,S-10032,202196,4044,728,2026-08-09T02:37:00Z,2026-08-10T16:36:00Z
pay-000208,pay_1003206,S-10032,215287,4306,775,2026-08-08T18:37:00Z,2026-08-10T16:36:00Z
pay-000209,pay_1003207,S-10032,1845343,36907,6643,2026-08-09T09:37:00Z,2026-08-10T16:36:00Z
pay-000210,pay_1003208,S-10032,1161178,23224,4180,2026-08-08T14:37:00Z,2026-08-10T16:36:00Z
pay-000211,pay_1003209,S-10032,1890642,37813,6806,2026-08-08T20:37:00Z,2026-08-10T16:36:00Z
pay-000212,pay_1003300,S-10033,2236141,44723,8050,2026-08-06T13:41:00Z,2026-08-07T03:35:00Z
pay-000213,pay_1003301,S-10033,626984,12540,2257,2026-08-06T08:41:00Z,2026-08-07T03:35:00Z
pay-000214,pay_1003302,S-10033,708748,14175,2552,2026-08-05T02:41:00Z,2026-08-07T03:35:00Z
pay-000215,pay_1003303,S-10033,817455,16349,2943,2026-08-04T21:41:00Z,2026-08-07T03:35:00Z
pay-000216,pay_1003304,S-10033,665617,13312,2396,2026-08-05T22:41:00Z,2026-08-07T03:35:00Z
pay-000217,pay_1003305,S-10033,748462,14969,2694,2026-08-06T02:41:00Z,2026-08-07T03:35:00Z
pay-000218,pay_1003306,S-10033,166639,3333,600,2026-08-05T19:41:00Z,2026-08-07T03:35:00Z
pay-000219,pay_1003307,S-10033,2216932,44339,7981,2026-08-05T06:41:00Z,2026-08-07T03:35:00Z
pay-000220,pay_1003308,S-10033,2197620,43952,7911,2026-08-05T19:41:00Z,2026-08-07T03:35:00Z
pay-000221,pay_1003309,S-10033,2138480,42770,7699,2026-08-05T16:41:00Z,2026-08-07T03:35:00Z
pay-000222,pay_1003400,S-10034,1331938,26639,4795,2026-08-11T06:37:00Z,2026-08-12T18:23:00Z
pay-000223,pay_1003401,S-10034,1631023,32620,5872,2026-08-10T22:37:00Z,2026-08-12T18:23:00Z
pay-000224,pay_1003402,S-10034,894444,17889,3220,2026-08-12T05:37:00Z,2026-08-12T18:23:00Z
pay-000225,pay_1003403,S-10034,1449675,28994,5219,2026-08-10T18:37:00Z,2026-08-12T18:23:00Z
pay-000226,pay_1003404,S-10034,2496174,49923,8986,2026-08-12T00:37:00Z,2026-08-12T18:23:00Z
pay-000227,pay_1003405,S-10034,547243,10945,1970,2026-08-11T08:37:00Z,2026-08-12T18:23:00Z
pay-000228,pay_1003406,S-10034,2418127,48363,8705,2026-08-10T17:37:00Z,2026-08-12T18:23:00Z
pay-000229,pay_1003500,S-10035,397533,7951,1431,2026-08-12T16:58:00Z,2026-08-13T08:33:00Z
pay-000230,pay_1003501,S-10035,1833543,36671,6601,2026-08-12T03:58:00Z,2026-08-13T08:33:00Z
pay-000231,pay_1003502,S-10035,994584,19892,3581,2026-08-12T11:58:00Z,2026-08-13T08:33:00Z
pay-000232,pay_1003503,S-10035,1920971,38419,6915,2026-08-11T06:58:00Z,2026-08-13T08:33:00Z
pay-000233,pay_1003504,S-10035,965815,19316,3477,2026-08-11T15:58:00Z,2026-08-13T08:33:00Z
pay-000234,pay_1003505,S-10035,1136070,22721,4090,2026-08-11T13:58:00Z,2026-08-13T08:33:00Z
pay-000235,pay_1003600,S-10036,2399702,47994,8639,2026-08-13T08:47:00Z,2026-08-14T22:01:00Z
pay-000236,pay_1003601,S-10036,1190528,23811,4286,2026-08-13T22:47:00Z,2026-08-14T22:01:00Z
pay-000237,pay_1003602,S-10036,2023324,40466,7284,2026-08-13T23:47:00Z,2026-08-14T22:01:00Z
pay-000238,pay_1003603,S-10036,534063,10681,1923,2026-08-13T18:47:00Z,2026-08-14T22:01:00Z
pay-000239,pay_1003604,S-10036,66294,1326,239,2026-08-13T10:47:00Z,2026-08-14T22:01:00Z
pay-000240,pay_1003605,S-10036,2033774,40675,7322,2026-08-13T02:47:00Z,2026-08-14T22:01:00Z
pay-000241,pay_1003606,S-10036,2278626,45573,8203,2026-08-14T18:47:00Z,2026-08-14T22:01:00Z
pay-000242,pay_1003607,S-10036,145893,2918,525,2026-08-14T08:47:00Z,2026-08-14T22:01:00Z
