row_id,event_id,settlement_id,utr,event_type,amount_paise,received_at,ingested_at
whk-000057,evt_10057,S-10057,DYNE26081210057,settlement.processed,16024887,2026-08-12T20:00:00Z,2026-08-12T20:31:00Z
whk-000058,evt_10058,S-10058,ACME26081310058,settlement.processed,7553286,2026-08-13T21:31:00Z,2026-08-13T21:50:00Z
whk-000059,evt_10059,S-10059,EVER26081410059,settlement.processed,14176143,2026-08-14T21:50:00Z,2026-08-14T22:53:00Z
whk-000060,evt_10060,S-10060,BOLT26082410060,settlement.processed,17378693,2026-08-25T01:54:00Z,2026-08-25T02:46:00Z
whk-000061,evt_10061,S-10061,ACME26081610061,settlement.processed,6056559,2026-08-16T06:15:00Z,2026-08-16T06:52:00Z
whk-000062,evt_10062,S-10062,ACME26081710062,settlement.processed,16683134,2026-08-17T09:28:00Z,2026-08-17T10:43:00Z
whk-000063,evt_10063,S-10063,DYNE26081810063,settlement.processed,4742922,2026-08-18T18:13:00Z,2026-08-18T18:14:00Z
whk-000064,evt_10064,S-10064,DYNE26081910064,settlement.processed,1901388,2026-08-19T16:43:00Z,2026-08-19T16:46:00Z
whk-000065,evt_10065,S-10065,CRUX26082010065,settlement.processed,9467174,2026-08-21T04:48:00Z,2026-08-21T06:05:00Z
whk-000066,evt_10066,S-10066,DYNE26082110066,settlement.processed,4727042,2026-08-21T23:32:00Z,2026-08-21T23:28:00Z
whk-000067,evt_10067,S-10067,BOLT26081910067,settlement.processed,9518705,2026-08-19T17:19:00Z,2026-08-19T18:27:00Z
whk-000068,evt_10068,S-10068,DYNE26082310068,settlement.processed,8822389,2026-08-23T11:47:00Z,2026-08-23T12:36:00Z
whk-000069,evt_10069,S-10069,CRUX26082410069,settlement.processed,19367718,2026-08-24T08:57:00Z,2026-08-24T09:43:00Z
whk-000070,evt_10070,S-10070,BOLT26080210070,settlement.processed,14766243,2026-08-02T14:48:00Z,2026-08-02T16:16:00Z
whk-000071,evt_10071,S-10071,EVER26080310071,settlement.processed,9420063,2026-08-03T23:16:00Z,2026-08-04T00:46:00Z
whk-000072,evt_10072,S-10072,CRUX26080410072,settlement.processed,7710604,2026-08-04T05:34:00Z,2026-08-04T05:37:00Z
whk-000073,evt_10073,S-10073,CRUX26080510073,settlement.processed,5643435,2026-08-08T12:58:00Z,2026-08-08T13:40:00Z
whk-000074,evt_10074,S-10074,CRUX26080610074,settlement.processed,8817652,2026-08-06T14:55:00Z,2026-08-06T15:31:00Z
whk-000075,evt_10075,S-10075,ACME26080710075,settlement.processed,8185573,2026-08-07T10:37:00Z,2026-08-07T11:20:00Z
whk-000076,evt_10076,S-10076,ACME26080810076,settlement.processed,4248336,2026-08-08T18:25:00Z,2026-08-08T19:13:00Z
whk-000077,evt_10077,S-10077,EVER26080910077,settlement.processed,10290267,2026-08-10T04:46:00Z,2026-08-10T05:26:00Z
whk-000078,evt_10078,S-10078,CRUX26081010078,settlement.processed,9323797,2026-08-10T09:41:00Z,2026-08-10T10:32:00Z
whk-000079,evt_10079,S-10079,BOLT26081110079,settlement.processed,5670197,2026-08-12T03:20:00Z,2026-08-12T04:28:00Z
whk-000080,evt_10080,S-10080,DYNE26081210080,settlement.processed,12700301,2026-08-12T06:49:00Z,2026-08-12T07:56:00Z
whk-000081,evt_10081,S-10081,CRUX26081310081,settlement.processed,9649600,2026-08-13T22:11:00Z,2026-08-13T22:33:00Z
whk-000082,evt_10082,S-10082,ACME26081410082,settlement.processed,12238100,2026-08-17T07:04:00Z,2026-08-17T07:19:00Z
whk-000083,evt_10083,S-10083,DYNE26081510083,settlement.processed,7881962,2026-08-15T04:18:00Z,2026-08-15T04:17:00Z
whk-000084,evt_10084,S-10084,CRUX26081610084,settlement.processed,6091913,2026-08-16T11:41:00Z,2026-08-16T12:28:00Z
whk-000085,evt_10085,S-10085,ACME26081710085,settlement.processed,15834686,2026-08-18T03:03:00Z,2026-08-18T03:54:00Z
whk-000086,evt_10086,S-10086,BOLT26081810086,settlement.processed,3296647,2026-08-21T01:22:00Z,2026-08-21T02:52:00Z
whk-000087,evt_10087,S-10087,DYNE26081910087,settlement.processed,8908102,2026-08-19T15:40:00Z,2026-08-19T15:50:00Z
whk-000088,evt_10088,S-10088,CRUX26081610088,settlement.processed,6435387,2026-08-16T23:44:00Z,2026-08-17T00:57:00Z
whk-000089,evt_10089,S-10089,CRUX26081710089,settlement.processed,17596411,2026-08-17T19:59:00Z,2026-08-17T20:51:00Z
whk-000090,evt_10090,S-10090,ACME26082210090,settlement.processed,13536039,2026-08-23T03:11:00Z,2026-08-23T03:15:00Z
whk-000091,evt_10091,S-10091,ACME26082310091,settlement.processed,6181381,2026-08-26T22:04:00Z,2026-08-26T23:26:00Z
whk-000092,evt_10092,S-10092,BOLT26081110092,settlement.processed,9438556,2026-08-11T16:54:00Z,2026-08-11T17:05:00Z
whk-000093,evt_10093,S-10093,DYNE26080210093,settlement.processed,3937602,2026-08-02T06:34:00Z,2026-08-02T06:56:00Z
whk-000094,evt_10094,S-10094,BOLT26082210094,settlement.processed,7986334,2026-08-23T03:08:00Z,2026-08-23T02:52:00Z
whk-000095,evt_10095,S-10095,ACME26080410095,settlement.processed,13114325,2026-08-04T17:24:00Z,2026-08-04T18:08:00Z
whk-000096,evt_10096,S-10096,ACME26080510096,settlement.processed,13392644,2026-08-06T01:49:00Z,2026-08-06T02:26:00Z
whk-000097,evt_10097,S-10097,CRUX26080610097,settlement.processed,9166517,2026-08-06T13:09:00Z,2026-08-06T14:31:00Z
whk-000098,evt_10098,S-10098,BOLT26080710098,settlement.processed,9775782,2026-08-07T08:36:00Z,2026-08-07T09:23:00Z
whk-000099,evt_10099,S-10099,BOLT26080810099,settlement.processed,8368613,2026-08-08T16:08:00Z,2026-08-08T15:59:00Z
whk-000100,evt_10100,S-10100,CRUX26080910100,settlement.processed,6590973,2026-08-09T17:07:00Z,2026-08-09T18:29:00Z
whk-000101,evt_10101,S-10101,ACME26081010101,settlement.processed,12590552,2026-08-10T06:53:00Z,2026-08-10T07:25:00Z
whk-000102,evt_10102,S-10102,BOLT26081110102,settlement.processed,10899373,2026-08-11T14:05:00Z,2026-08-11T15:23:00Z
whk-000103,evt_10103,S-10103,EVER26081210103,settlement.processed,9557159,2026-08-14T20:34:00Z,2026-08-14T22:17:00Z
whk-000104,evt_10104,S-10104,EVER26081310104,settlement.processed,14631953,2026-08-13T09:26:00Z,2026-08-13T10:29:00Z
whk-000105,evt_10105,S-10105,BOLT26081410105,settlement.processed,5287948,2026-08-14T13:37:00Z,2026-08-14T14:38:00Z
whk-000106,evt_10106,S-10106,CRUX26080210106,settlement.processed,10707771,2026-08-02T13:43:00Z,2026-08-02T13:54:00Z
whk-000107,evt_10107,S-10107,CRUX26081610107,settlement.processed,2275971,2026-08-16T08:56:00Z,2026-08-16T09:39:00Z
whk-000108,evt_10108,S-10108,EVER26081710108,settlement.processed,7732979,2026-08-17T05:47:00Z,2026-08-17T07:02:00Z
whk-000109,evt_10109,S-10109,ACME26081810109,settlement.processed,3465758,2026-08-18T21:37:00Z,2026-08-18T22:58:00Z
whk-000110,evt_10110,S-10110,ACME26081910110,settlement.processed,13467826,2026-08-19T11:26:00Z,2026-08-19T13:12:00Z
whk-000111,evt_10111,S-10111,BOLT26082010111,settlement.processed,5626249,2026-08-20T18:01:00Z,2026-08-20T19:06:00Z
whk-000112,evt_10112,S-10112,CRUX26082110112,settlement.processed,5660890,2026-08-21T16:09:00Z,2026-08-21T17:38:00Z
whk-000113,evt_10113,S-10113,DYNE26082210113,settlement.processed,13300155,2026-08-22T22:56:00Z,2026-08-22T23:19:00Z
whk-000114,evt_10114,S-10114,CRUX26082310114,settlement.processed,6886501,2026-08-24T15:12:00Z,2026-08-24T15:31:00Z
whk-000115,evt_10115,S-10115,CRUX26082410115,settlement.processed,4482369,2026-08-24T16:49:00Z,2026-08-24T16:56:00Z
whk-000116,evt_10116,S-10116,EVER26080210116,settlement.processed,14394220,2026-08-02T08:56:00Z,2026-08-02T09:47:00Z
whk-000117,evt_10117,S-10117,EVER26080310117,settlement.processed,3348476,2026-08-04T02:43:00Z,2026-08-04T02:41:00Z
whk-000118,evt_10118,S-10118,CRUX26080410118,settlement.processed,9483396,2026-08-05T21:49:00Z,2026-08-05T23:28:00Z
whk-000119,evt_10119,S-10119,EVER26080510119,settlement.processed,11580056,2026-08-05T18:48:00Z,2026-08-05T19:41:00Z
whk-000120,evt_10120,S-10120,CRUX26082410120,settlement.processed,8066328,2026-08-24T18:17:00Z,2026-08-24T19:03:00Z
whk-000121,evt_90001,S-90001,ACME26080290001,settlement.processed,5831740,2026-08-02T10:29:00Z,2026-08-02T10:58:00Z
whk-000122,evt_90002,S-90002,ACME26080390002,settlement.processed,12709259,2026-08-03T08:30:00Z,2026-08-03T09:54:00Z
whk-000123,evt_90003,S-90003,CRUX26080490003,settlement.processed,2651354,2026-08-04T08:11:00Z,2026-08-04T08:35:00Z
whk-000124,evt_90004,S-90004,DYNE26081690004,settlement.processed,6793838,2026-08-16T16:51:00Z,2026-08-16T16:37:00Z
whk-000125,evt_90005,S-90005,DYNE26080690005,settlement.processed,12166707,2026-08-06T20:23:00Z,2026-08-06T21:36:00Z
whk-000126,evt_90005,S-90005,DYNE26080690005,settlement.processed,12166707,2026-08-06T20:23:00Z,2026-08-06T21:36:00Z
whk-000127,evt_90006,S-90006,DYNE26080790006,settlement.processed,14403250,2026-08-07T19:01:00Z,2026-08-07T19:29:00Z
whk-000128,evt_90007,S-90007,EVER26080890007,settlement.processed,8452525,2026-08-09T00:59:00Z,2026-08-09T01:02:00Z
whk-000129,evt_90008,S-90008,CRUX26080990008,settlement.processed,10743834,2026-08-09T18:38:00Z,2026-08-09T18:48:00Z
whk-000130,evt_90008,S-90008,CRUX26080990008,settlement.processed,10743834,2026-08-09T18:38:00Z,2026-08-09T18:48:00Z
whk-000131,evt_90009,S-90009,CRUX26081090009,settlement.processed,10665146,2026-08-11T04:02:00Z,2026-08-11T05:22:00Z
whk-000132,evt_90010,S-90010,ACME26081190010,settlement.processed,10622474,2026-08-11T19:35:00Z,2026-08-11T20:39:00Z
whk-000133,evt_90011,S-90011,BOLT26081290011,settlement.processed,13348891,2026-08-12T15:05:00Z,2026-08-12T15:11:00Z
whk-000134,evt_90012,S-90012,ACME26080690012,settlement.processed,4809117,2026-08-06T10:04:00Z,2026-08-06T10:26:00Z
whk-000135,evt_90013,S-90013,DYNE26081490013,settlement.processed,8723309,2026-08-14T16:00:00Z,2026-08-14T15:51:00Z
whk-000136,evt_90014,S-90014,CRUX26081590014,settlement.processed,7260425,2026-08-15T10:18:00Z,2026-08-15T10:21:00Z
whk-000137,evt_90015,S-90015,CRUX26081690015,settlement.processed,11756199,2026-08-16T09:23:00Z,2026-08-16T10:31:00Z
whk-000138,evt_90016,S-90016,ACME26081690016,settlement.processed,9381290,2026-08-16T22:00:00Z,2026-08-16T21:55:00Z
whk-000139,evt_90017,S-90017,ACME26081890017,settlement.processed,7741427,2026-08-18T07:20:00Z,2026-08-18T08:50:00Z
whk-000140,evt_90018,S-90018,BOLT26081990018,settlement.processed,5887188,2026-08-19T14:31:00Z,2026-08-19T15:25:00Z
whk-000141,evt_90018,S-90018,BOLT26081990018,settlement.processed,5887188,2026-08-19T14:31:00Z,2026-08-19T15:25:00Z
whk-000142,evt_90019,S-90019,EVER26081990019,settlement.processed,8763436,2026-08-19T18:23:00Z,2026-08-19T19:13:00Z
whk-000143,evt_90020,S-90020,EVER26080790020,settlement.processed,6001278,2026-08-07T11:18:00Z,2026-08-07T12:04:00Z
whk-000144,evt_90021,S-90021,DYNE26082190021,settlement.processed,6656529,2026-08-22T02:05:00Z,2026-08-22T02:05:00Z
whk-000145,evt_90022,S-90022,CRUX26082390022,settlement.processed,10689001,2026-08-23T13:28:00Z,2026-08-23T13:51:00Z
whk-000146,evt_90023,S-90023,ACME26082490023,settlement.processed,5429099,2026-08-24T08:49:00Z,2026-08-24T09:04:00Z
whk-000147,evt_90023,S-90023,ACME26082490023,settlement.processed,5429099,2026-08-24T08:49:00Z,2026-08-24T09:04:00Z
whk-000148,evt_90024,S-90024,CRUX26082490024,settlement.processed,9197945,2026-08-24T23:27:00Z,2026-08-25T00:30:00Z
whk-000149,evt_90025,S-90025,EVER26080390025,settlement.processed,5600438,2026-08-03T09:00:00Z,2026-08-03T09:23:00Z
whk-000150,evt_90026,S-90026,EVER26080490026,settlement.processed,6050798,2026-08-05T03:03:00Z,2026-08-05T02:52:00Z
whk-000151,evt_90027,S-90027,ACME26080590027,settlement.processed,5723888,2026-08-05T10:38:00Z,2026-08-05T10:46:00Z
whk-000152,evt_90028,S-90028,DYNE26080690028,settlement.processed,9763596,2026-08-07T01:15:00Z,2026-08-07T02:07:00Z
whk-000153,evt_90028,S-90028,DYNE26080690028,settlement.processed,9763596,2026-08-07T01:15:00Z,2026-08-07T02:07:00Z
whk-000154,evt_90029,S-90029,DYNE26080290029,settlement.processed,5297575,2026-08-02T04:40:00Z,2026-08-02T05:10:00Z
whk-000155,evt_90030,S-90030,DYNE26080390030,settlement.processed,12052668,2026-08-03T18:31:00Z,2026-08-03T18:44:00Z
