row_id,settlement_id,merchant_id,utr,net_amount_paise,fees_paise,tax_paise,created_at,settled_at,status,ingested_at
stl-000027,S-10024,MERCH-ACME,ACME26080210024,3643935,74640,13436,2026-08-02T22:00:00Z,2026-08-03T00:00:00Z,processed,2026-08-03T01:36:00Z
stl-000028,S-10024-B,MERCH-ACME,ACME26080210024,3625269,74640,13436,2026-08-02T22:00:00Z,2026-08-03T00:00:00Z,processed,2026-08-03T01:36:00Z
stl-000029,S-10025,MERCH-BOLT,BOLT26081310025,9109161,218223,33699,2026-08-13T21:45:00Z,2026-08-14T04:45:00Z,processed,2026-08-14T05:04:00Z
stl-000030,S-10026,MERCH-DYNE,DYNE26080610026,10892176,223109,40159,2026-08-06T18:14:00Z,2026-08-07T00:14:00Z,processed,2026-08-07T00:46:00Z
stl-000031,S-10027,MERCH-ACME,ACME26080510027,9112419,186655,33597,2026-08-05T17:33:00Z,2026-08-05T20:33:00Z,processed,2026-08-05T20:43:00Z
stl-000032,S-10028,MERCH-CRUX,CRUX26080610028,11899845,243749,43875,2026-08-06T12:22:00Z,2026-08-06T16:22:00Z,processed,2026-08-06T16:42:00Z
stl-000033,S-10029,MERCH-EVER,EVER26080710029,5262720,107798,19404,2026-08-07T04:47:00Z,2026-08-07T09:47:00Z,processed,2026-08-07T10:57:00Z
stl-000034,S-10030,MERCH-EVER,EVER26080810030,9995698,204746,36853,2026-08-08T03:20:00Z,2026-08-08T11:20:00Z,processed,2026-08-08T12:17:00Z
stl-000035,S-10031,MERCH-EVER,EVER26081910031,3695626,107335,13741,2026-08-19T20:31:00Z,2026-08-19T22:31:00Z,processed,2026-08-19T22:52:00Z
stl-000036,S-10032,MERCH-CRUX,CRUX26081010032,8686815,177936,32028,2026-08-10T19:20:00Z,2026-08-10T21:20:00Z,processed,2026-08-10T22:56:00Z
stl-000037,S-10033,MERCH-CRUX,CRUX26080610033,17309309,354553,63819,2026-08-06T14:39:00Z,2026-08-06T22:39:00Z,processed,2026-08-06T23:19:00Z
stl-000038,S-10034,MERCH-DYNE,DYNE26081210034,11400892,233530,42036,2026-08-12T17:05:00Z,2026-08-12T20:05:00Z,processed,2026-08-12T21:45:00Z
stl-000039,S-10035,MERCH-ACME,ACME26081310035,5039735,103231,18581,2026-08-13T19:49:00Z,2026-08-14T01:49:00Z,processed,2026-08-14T03:07:00Z
stl-000040,S-10036,MERCH-ACME,ACME26081410036,14760774,302349,54422,2026-08-14T07:27:00Z,2026-08-14T10:27:00Z,processed,2026-08-14T12:05:00Z
stl-000041,S-10037,MERCH-EVER,EVER26081510037,10298709,210952,37971,2026-08-15T01:30:00Z,2026-08-15T03:30:00Z,processed,2026-08-15T04:15:00Z
stl-000042,S-10038,MERCH-CRUX,CRUX26081610038,5420245,132294,23813,2026-08-16T12:54:00Z,2026-08-16T14:54:00Z,processed,2026-08-16T15:31:00Z
stl-000043,S-10039,MERCH-CRUX,CRUX26081710039,10613352,285738,51434,2026-08-17T14:35:00Z,2026-08-17T18:35:00Z,processed,2026-08-17T18:51:00Z
stl-000044,S-10040,MERCH-DYNE,DYNE26081810040,12533160,256723,46210,2026-08-18T01:44:00Z,2026-08-18T04:44:00Z,processed,2026-08-18T06:18:00Z
stl-000045,S-10040-B,MERCH-DYNE,DYNE26081810040,12507302,256723,46210,2026-08-18T01:44:00Z,2026-08-18T04:44:00Z,processed,2026-08-18T06:18:00Z
stl-000046,S-10041,MERCH-BOLT,BOLT26081910041,1937475,39686,7143,2026-08-19T15:13:00Z,2026-08-19T23:13:00Z,processed,2026-08-20T00:20:00Z
stl-000047,S-10042,MERCH-CRUX,CRUX26082010042,5661294,115962,20875,2026-08-20T13:56:00Z,2026-08-20T18:56:00Z,processed,2026-08-20T19:50:00Z
stl-000048,S-10043,MERCH-EVER,EVER26082110043,13347453,273400,49212,2026-08-21T06:39:00Z,2026-08-21T09:39:00Z,processed,2026-08-21T11:06:00Z
stl-000049,S-10044,MERCH-EVER,EVER26082210044,9963768,204092,36737,2026-08-22T19:44:00Z,2026-08-23T02:44:00Z,processed,2026-08-23T03:05:00Z
stl-000050,S-10045,MERCH-EVER,EVER26082310045,11511887,235802,42443,2026-08-23T05:54:00Z,2026-08-23T09:54:00Z,processed,2026-08-23T10:34:00Z
stl-000051,S-10046,MERCH-DYNE,DYNE26082410046,10139222,207686,37384,2026-08-24T05:38:00Z,2026-08-24T07:38:00Z,processed,2026-08-24T07:48:00Z
stl-000052,S-10047,MERCH-ACME,ACME26080210047,9100156,186404,33552,2026-08-02T17:52:00Z,2026-08-05T23:52:00Z,processed,2026-08-06T01:00:00Z
stl-000053,S-10048,MERCH-DYNE,DYNE26080310048,4541849,93033,16746,2026-08-03T13:22:00Z,2026-08-03T19:22:00Z,processed,2026-08-03T20:12:00Z
stl-000054,S-10049,MERCH-BOLT,BOLT26080410049,5874663,120333,21659,2026-08-04T15:37:00Z,2026-08-04T22:37:00Z,processed,2026-08-05T00:04:00Z
stl-000055,S-10050,MERCH-CRUX,CRUX26080510050,12437918,254771,45859,2026-08-05T19:36:00Z,2026-08-08T23:36:00Z,processed,2026-08-09T00:38:00Z
stl-000056,S-10051,MERCH-EVER,EVER26080610051,12952286,295582,53204,2026-08-06T02:50:00Z,2026-08-06T10:50:00Z,processed,2026-08-06T11:32:00Z
stl-000057,S-10052,MERCH-CRUX,CRUX26080410052,5422706,111076,19993,2026-08-04T20:10:00Z,2026-08-05T00:10:00Z,processed,2026-08-05T00:41:00Z
stl-000058,S-10053,MERCH-BOLT,BOLT26081710053,15587197,343770,57559,2026-08-17T14:48:00Z,2026-08-17T21:48:00Z,processed,2026-08-17T21:53:00Z
stl-000059,S-10054,MERCH-ACME,ACME26080910054,13321499,272870,49116,2026-08-09T20:25:00Z,2026-08-10T00:25:00Z,processed,2026-08-10T02:11:00Z
stl-000060,S-10054,MERCH-ACME,ACME26080910054,13191186,272870,49116,2026-08-09T20:25:00Z,2026-08-10T00:25:00Z,processed,2026-08-10T02:11:00Z
stl-000061,S-10055,MERCH-ACME,ACME26081010055,8118010,166284,29932,2026-08-10T14:34:00Z,2026-08-10T17:34:00Z,processed,2026-08-10T18:48:00Z
stl-000062,S-10056,MERCH-DYNE,DYNE26081110056,12532318,256707,46206,2026-08-11T13:03:00Z,2026-08-11T16:03:00Z,processed,2026-08-11T17:04:00Z
stl-000063,S-10057,MERCH-BOLT,BOLT26081210057,5911236,134897,24280,2026-08-12T19:40:00Z,2026-08-13T01:40:00Z,processed,2026-08-13T02:49:00Z
stl-000064,S-10058,MERCH-EVER,EVER26081310058,10473675,239016,43022,2026-08-13T13:43:00Z,2026-08-13T21:43:00Z,processed,2026-08-13T22:46:00Z
stl-000065,S-10059,MERCH-DYNE,DYNE26081410059,7899800,161814,29127,2026-08-14T21:13:00Z,2026-08-15T05:13:00Z,processed,2026-08-15T05:50:00Z
stl-000066,S-10060,MERCH-DYNE,DYNE26082410060,11659045,270451,43101,2026-08-24T22:42:00Z,2026-08-25T01:42:00Z,processed,2026-08-25T03:05:00Z
stl-000067,S-10061,MERCH-ACME,ACME26081610061,6880837,140943,25369,2026-08-16T20:20:00Z,2026-08-16T23:20:00Z,processed,2026-08-17T00:17:00Z
stl-000068,S-10062,MERCH-DYNE,DYNE26081710062,16711859,342317,61616,2026-08-17T05:15:00Z,2026-08-17T11:15:00Z,processed,2026-08-17T12:02:00Z
stl-000069,S-10063,MERCH-EVER,EVER26081810063,6067842,124291,22372,2026-08-18T05:43:00Z,2026-08-18T07:43:00Z,processed,2026-08-18T07:50:00Z
stl-000070,S-10063-B,MERCH-EVER,EVER26081810063,6047803,124291,22372,2026-08-18T05:43:00Z,2026-08-18T07:43:00Z,processed,2026-08-18T07:50:00Z
stl-000071,S-10064,MERCH-ACME,ACME26081910064,3491408,71516,12873,2026-08-19T13:48:00Z,2026-08-19T21:48:00Z,processed,2026-08-19T23:15:00Z
stl-000072,S-10065,MERCH-BOLT,BOLT26082010065,13670552,280022,50404,2026-08-20T11:50:00Z,2026-08-20T19:50:00Z,processed,2026-08-20T21:26:00Z
stl-000073,S-10066,MERCH-BOLT,BOLT26082110066,12293089,251806,45325,2026-08-21T06:45:00Z,2026-08-21T09:45:00Z,processed,2026-08-21T11:32:00Z
stl-000074,S-10067,MERCH-EVER,EVER26081910067,9923733,234906,36703,2026-08-19T21:32:00Z,2026-08-20T01:32:00Z,processed,2026-08-20T03:09:00Z
stl-000075,S-10068,MERCH-DYNE,DYNE26082310068,7317549,163265,29389,2026-08-23T17:02:00Z,2026-08-23T23:02:00Z,processed,2026-08-24T00:28:00Z
stl-000076,S-10069,MERCH-BOLT,BOLT26082410069,3175962,72477,13046,2026-08-24T15:48:00Z,2026-08-24T17:48:00Z,processed,2026-08-24T18:30:00Z
stl-000077,S-10070,MERCH-EVER,EVER26080210070,9298554,190466,34284,2026-08-02T10:57:00Z,2026-08-02T15:57:00Z,processed,2026-08-02T17:36:00Z
stl-000078,S-10071,MERCH-CRUX,CRUX26080310071,20413039,418128,75262,2026-08-03T03:50:00Z,2026-08-03T08:50:00Z,processed,2026-08-03T09:43:00Z
stl-000079,S-10072,MERCH-CRUX,CRUX26080410072,11695884,302464,54445,2026-08-04T07:14:00Z,2026-08-04T14:14:00Z,processed,2026-08-04T14:45:00Z
stl-000080,S-10073,MERCH-EVER,EVER26080510073,4745249,97198,17496,2026-08-05T07:55:00Z,2026-08-08T11:55:00Z,processed,2026-08-08T12:53:00Z
stl-000081,S-10074,MERCH-ACME,ACME26080610074,11306223,231590,41686,2026-08-06T16:03:00Z,2026-08-06T22:03:00Z,processed,2026-08-06T23:32:00Z
stl-000082,S-10074,MERCH-ACME,ACME26080610074,11075249,231590,41686,2026-08-06T16:03:00Z,2026-08-06T22:03:00Z,processed,2026-08-06T23:32:00Z
stl-000083,S-10075,MERCH-CRUX,CRUX26080710075,5643435,115597,20808,2026-08-07T04:46:00Z,2026-08-07T11:46:00Z,processed,2026-08-07T12:40:00Z
stl-000084,S-10076,MERCH-CRUX,CRUX26080810076,8095190,180615,32511,2026-08-08T06:47:00Z,2026-08-08T14:47:00Z,processed,2026-08-08T15:31:00Z
stl-000085,S-10077,MERCH-ACME,ACME26080910077,13165372,269671,48540,2026-08-09T04:24:00Z,2026-08-09T10:24:00Z,processed,2026-08-09T12:10:00Z
stl-000086,S-10078,MERCH-EVER,EVER26081010078,7179687,147066,26472,2026-08-10T03:52:00Z,2026-08-10T06:52:00Z,processed,2026-08-10T07:46:00Z
stl-000087,S-10079,MERCH-CRUX,CRUX26081110079,10908914,223451,40222,2026-08-11T21:08:00Z,2026-08-11T23:08:00Z,processed,2026-08-11T23:41:00Z
stl-000088,S-10079-B,MERCH-CRUX,CRUX26081110079,10821949,223451,40222,2026-08-11T21:08:00Z,2026-08-11T23:08:00Z,processed,2026-08-11T23:41:00Z
stl-000089,S-10080,MERCH-BOLT,BOLT26081210080,12863341,263485,47427,2026-08-12T17:05:00Z,2026-08-12T22:05:00Z,processed,2026-08-12T22:57:00Z
stl-000090,S-10080-B,MERCH-BOLT,BOLT26081210080,12813858,263485,47427,2026-08-12T17:05:00Z,2026-08-12T22:05:00Z,processed,2026-08-12T22:57:00Z
stl-000091,S-10081,MERCH-EVER,EVER26081310081,14475770,296514,53371,2026-08-13T14:53:00Z,2026-08-13T17:53:00Z,processed,2026-08-13T18:05:00Z
stl-000092,S-10082,MERCH-CRUX,CRUX26081410082,3736552,76537,13776,2026-08-14T05:20:00Z,2026-08-15T07:20:00Z,processed,2026-08-15T07:57:00Z
stl-000093,S-10083,MERCH-DYNE,DYNE26081510083,9657485,197818,35607,2026-08-15T01:06:00Z,2026-08-15T07:06:00Z,processed,2026-08-15T07:52:00Z
stl-000094,S-10084,MERCH-EVER,EVER26081610084,13591460,278400,50113,2026-08-16T04:03:00Z,2026-08-16T12:03:00Z,processed,2026-08-16T12:54:00Z
stl-000095,S-10084-B,MERCH-EVER,EVER26081610084,13524368,278400,50113,2026-08-16T04:03:00Z,2026-08-16T12:03:00Z,processed,2026-08-16T12:54:00Z
stl-000096,S-10085,MERCH-ACME,ACME26081710085,9291201,190315,34258,2026-08-17T11:48:00Z,2026-08-17T17:48:00Z,processed,2026-08-17T19:15:00Z
stl-000097,S-10086,MERCH-EVER,EVER26081810086,12194047,249777,44960,2026-08-18T14:58:00Z,2026-08-20T16:58:00Z,processed,2026-08-20T18:28:00Z
stl-000098,S-10087,MERCH-ACME,ACME26081910087,11855279,270543,48698,2026-08-19T17:54:00Z,2026-08-20T01:54:00Z,processed,2026-08-20T03:08:00Z
stl-000099,S-10088,MERCH-CRUX,CRUX26081610088,4433417,109179,16413,2026-08-16T17:19:00Z,2026-08-16T23:19:00Z,processed,2026-08-16T23:47:00Z
stl-000100,S-10089,MERCH-BOLT,BOLT26081710089,12404684,263274,45769,2026-08-17T19:27:00Z,2026-08-18T01:27:00Z,processed,2026-08-18T02:22:00Z
stl-000101,S-10090,MERCH-EVER,EVER26082210090,2186796,44793,8063,2026-08-22T22:35:00Z,2026-08-23T04:35:00Z,processed,2026-08-23T05:57:00Z
stl-000102,S-10091,MERCH-CRUX,CRUX26082310091,7777911,159319,28676,2026-08-23T18:14:00Z,2026-08-26T21:14:00Z,processed,2026-08-26T22:59:00Z
stl-000103,S-10092,MERCH-DYNE,DYNE26081110092,14681621,312976,54177,2026-08-11T10:00:00Z,2026-08-11T16:40:00Z,processed,2026-08-11T17:05:00Z
stl-000104,S-10093,MERCH-BOLT,BOLT26080210093,3028157,62027,11165,2026-08-02T20:52:00Z,2026-08-02T22:52:00Z,processed,2026-08-03T00:33:00Z
stl-000105,S-10094,MERCH-ACME,ACME26082210094,6807007,148614,25129,2026-08-22T18:27:00Z,2026-08-22T21:27:00Z,processed,2026-08-22T21:54:00Z
stl-000106,S-10095,MERCH-EVER,EVER26080410095,8010334,164079,29535,2026-08-04T22:58:00Z,2026-08-05T06:58:00Z,processed,2026-08-05T07:10:00Z
stl-000107,S-10096,MERCH-ACME,ACME26080510096,13114325,268627,48352,2026-08-05T12:06:00Z,2026-08-05T17:06:00Z,processed,2026-08-05T18:08:00Z
stl-000108,S-10096-B,MERCH-ACME,ACME26080510096,13102744,268627,48352,2026-08-05T12:06:00Z,2026-08-05T17:06:00Z,processed,2026-08-05T18:08:00Z
stl-000109,S-10097,MERCH-CRUX,CRUX26080610097,10107415,207034,37267,2026-08-06T04:55:00Z,2026-08-06T07:55:00Z,processed,2026-08-06T09:18:00Z
stl-000110,S-10098,MERCH-BOLT,BOLT26080710098,7096002,145350,26163,2026-08-07T17:33:00Z,2026-08-08T00:33:00Z,processed,2026-08-08T02:13:00Z
stl-000111,S-10099,MERCH-BOLT,BOLT26080810099,6602678,135245,24344,2026-08-08T05:43:00Z,2026-08-08T10:43:00Z,processed,2026-08-08T11:09:00Z
stl-000112,S-10100,MERCH-BOLT,BOLT26080910100,13788183,282431,50837,2026-08-09T14:33:00Z,2026-08-09T21:33:00Z,processed,2026-08-09T21:40:00Z
stl-000113,S-10101,MERCH-EVER,EVER26081010101,8137039,166673,30000,2026-08-10T20:00:00Z,2026-08-11T04:00:00Z,processed,2026-08-11T04:56:00Z
stl-000114,S-10102,MERCH-ACME,ACME26081110102,6493102,133001,23940,2026-08-11T08:10:00Z,2026-08-11T13:10:00Z,processed,2026-08-11T14:28:00Z
stl-000115,S-10103,MERCH-CRUX,CRUX26081210103,13956065,285868,51456,2026-08-12T01:03:00Z,2026-08-15T04:03:00Z,processed,2026-08-15T05:21:00Z
stl-000116,S-10104,MERCH-CRUX,CRUX26081310104,7096223,145354,26164,2026-08-13T21:51:00Z,2026-08-14T00:51:00Z,processed,2026-08-14T01:53:00Z
stl-000117,S-10105,MERCH-EVER,EVER26081410105,11244398,230325,41459,2026-08-14T17:28:00Z,2026-08-15T01:28:00Z,processed,2026-08-15T02:01:00Z
stl-000118,S-10106,MERCH-CRUX,CRUX26080210106,4235222,86753,15615,2026-08-02T09:14:00Z,2026-08-02T13:14:00Z,processed,2026-08-02T14:43:00Z
stl-000119,S-10107,MERCH-CRUX,CRUX26081610107,10260275,210166,37830,2026-08-16T17:41:00Z,2026-08-16T21:41:00Z,processed,2026-08-16T23:24:00Z
stl-000120,S-10108,MERCH-ACME,ACME26081710108,3027189,62008,11163,2026-08-17T06:53:00Z,2026-08-17T10:53:00Z,processed,2026-08-17T11:25:00Z
stl-000121,S-10109,MERCH-EVER,EVER26081810109,5640369,115534,20797,2026-08-18T20:23:00Z,2026-08-18T22:23:00Z,processed,2026-08-18T22:30:00Z
stl-000122,S-10110,MERCH-BOLT,BOLT26081910110,6844321,140195,25235,2026-08-19T14:00:00Z,2026-08-19T21:00:00Z,processed,2026-08-19T21:06:00Z
stl-000123,S-10111,MERCH-DYNE,DYNE26082010111,5994729,122793,22103,2026-08-20T04:01:00Z,2026-08-20T06:01:00Z,processed,2026-08-20T07:19:00Z
stl-000124,S-10111-B,MERCH-DYNE,DYNE26082010111,5941618,122793,22103,2026-08-20T04:01:00Z,2026-08-20T06:01:00Z,processed,2026-08-20T07:19:00Z
stl-000125,S-10112,MERCH-EVER,EVER26082110112,13347783,273406,49213,2026-08-21T13:13:00Z,2026-08-21T15:13:00Z,processed,2026-08-21T16:40:00Z
stl-000126,S-10113,MERCH-CRUX,CRUX26082210113,1752416,35896,6461,2026-08-22T09:44:00Z,2026-08-22T13:44:00Z,processed,2026-08-22T14:30:00Z
stl-000127,S-10114,MERCH-CRUX,CRUX26082310114,10975842,224823,40469,2026-08-23T06:48:00Z,2026-08-24T10:48:00Z,processed,2026-08-24T11:34:00Z
stl-000128,S-10115,MERCH-ACME,ACME26082410115,12999969,266283,47931,2026-08-24T06:33:00Z,2026-08-24T13:33:00Z,processed,2026-08-24T15:11:00Z
stl-000129,S-10116,MERCH-EVER,EVER26080210116,5023310,102894,18521,2026-08-02T11:08:00Z,2026-08-02T19:08:00Z,processed,2026-08-02T20:33:00Z
stl-000130,S-10116,MERCH-EVER,EVER26080210116,4885922,102894,18521,2026-08-02T11:08:00Z,2026-08-02T19:08:00Z,processed,2026-08-02T20:33:00Z
stl-000131,S-10117,MERCH-CRUX,CRUX26080310117,12269806,251328,45238,2026-08-03T03:02:00Z,2026-08-03T10:02:00Z,processed,2026-08-03T10:33:00Z
stl-000132,S-10118,MERCH-ACME,ACME26080410118,11639915,238425,42916,2026-08-04T09:24:00Z,2026-08-06T13:24:00Z,processed,2026-08-06T13:41:00Z
stl-000133,S-10119,MERCH-BOLT,BOLT26080510119,9077637,185940,33468,2026-08-05T17:43:00Z,2026-08-05T23:43:00Z,processed,2026-08-06T00:38:00Z
stl-000134,S-10119-B,MERCH-BOLT,BOLT26080510119,9065674,185940,33468,2026-08-05T17:43:00Z,2026-08-05T23:43:00Z,processed,2026-08-06T00:38:00Z
stl-000135,S-10120,MERCH-DYNE,DYNE26082410120,10881421,232073,40154,2026-08-24T18:08:00Z,2026-08-24T21:08:00Z,processed,2026-08-24T21:23:00Z
stl-000136,S-90001,MERCH-BOLT,BOLT26080290001,2196396,44989,8098,2026-08-02T04:23:00Z,2026-08-02T09:23:00Z,processed,2026-08-02T10:40:00Z
stl-000137,S-90001,MERCH-BOLT,BOLT26080290001,2196396,44989,8098,2026-08-02T04:23:00Z,2026-08-02T09:23:00Z,processed,2026-08-02T10:40:00Z
stl-000138,S-90002,MERCH-CRUX,CRUX26080390002,5040316,103242,18583,2026-08-03T05:43:00Z,2026-08-03T08:43:00Z,processed,2026-08-03T10:13:00Z
stl-000139,S-90002,MERCH-CRUX,CRUX26080390002,5040316,103242,18583,2026-08-03T05:43:00Z,2026-08-03T08:43:00Z,processed,2026-08-03T10:13:00Z
stl-000140,S-90003,MERCH-EVER,EVER26080490003,13618481,278954,50212,2026-08-04T21:18:00Z,2026-08-04T23:18:00Z,processed,2026-08-04T23:37:00Z
stl-000141,S-90004,MERCH-BOLT,BOLT26080590004,7095413,145339,26161,2026-08-05T12:43:00Z,2026-08-05T14:43:00Z,processed,2026-08-05T16:31:00Z
stl-000142,S-90005,MERCH-CRUX,CRUX26080690005,4574166,93695,16865,2026-08-06T11:07:00Z,2026-08-06T14:07:00Z,processed,2026-08-06T15:08:00Z
stl-000143,S-90006,MERCH-ACME,ACME26081890006,8889409,194332,32819,2026-08-18T17:47:00Z,2026-08-19T01:47:00Z,processed,2026-08-19T02:01:00Z
stl-000144,S-90007,MERCH-ACME,ACME26080890007,14649529,300073,54014,2026-08-08T21:20:00Z,2026-08-08T23:20:00Z,processed,2026-08-09T00:25:00Z
stl-000145,S-90008,MERCH-DYNE,DYNE26082090008,12935775,277213,47738,2026-08-20T18:20:00Z,2026-08-20T20:20:00Z,processed,2026-08-20T21:08:00Z
stl-000146,S-90009,MERCH-BOLT,BOLT26081090009,14637937,299834,53969,2026-08-10T07:45:00Z,2026-08-10T12:45:00Z,processed,2026-08-10T13:12:00Z
stl-000147,S-90009,MERCH-BOLT,BOLT26081090009,14454028,299834,53969,2026-08-10T07:45:00Z,2026-08-10T12:45:00Z,processed,2026-08-10T13:12:00Z
stl-000148,S-90010,MERCH-BOLT,BOLT26081190010,11531679,236207,42516,2026-08-11T17:35:00Z,2026-08-12T00:35:00Z,processed,2026-08-12T00:42:00Z
stl-000149,S-90010,MERCH-BOLT,BOLT26081190010,11421496,236207,42516,2026-08-11T17:35:00Z,2026-08-12T00:35:00Z,processed,2026-08-12T00:42:00Z
stl-000150,S-90011,MERCH-DYNE,DYNE26081290011,10127372,207443,37338,2026-08-12T04:08:00Z,2026-08-12T09:08:00Z,processed,2026-08-12T09:47:00Z
stl-000151,S-90011,MERCH-DYNE,DYNE26081290011,9996128,207443,37338,2026-08-12T04:08:00Z,2026-08-12T09:08:00Z,processed,2026-08-12T09:47:00Z
stl-000152,S-90012,MERCH-ACME,ACME26081390012,10622474,217585,39165,2026-08-13T14:33:00Z,2026-08-13T19:33:00Z,processed,2026-08-13T20:39:00Z
stl-000153,S-90013,MERCH-CRUX,CRUX26081390013,15489131,326453,57140,2026-08-13T12:48:00Z,2026-08-13T15:48:00Z,processed,2026-08-13T17:18:00Z
stl-000154,S-90014,MERCH-BOLT,BOLT26081590014,4809117,98507,17731,2026-08-15T22:03:00Z,2026-08-16T01:03:00Z,processed,2026-08-16T01:33:00Z
stl-000155,S-90015,MERCH-EVER,EVER26081690015,12457915,255182,45933,2026-08-16T15:00:00Z,2026-08-16T19:00:00Z,processed,2026-08-16T19:36:00Z
stl-000156,S-90016,MERCH-EVER,EVER26080390016,4500102,92177,16591,2026-08-03T07:51:00Z,2026-08-03T10:51:00Z,processed,2026-08-03T12:11:00Z
stl-000157,S-90017,MERCH-BOLT,BOLT26081890017,10388017,212783,38300,2026-08-18T10:52:00Z,2026-08-18T16:52:00Z,processed,2026-08-18T17:22:00Z
stl-000158,S-90018,MERCH-ACME,ACME26081990018,13153895,269437,48499,2026-08-19T20:01:00Z,2026-08-19T23:01:00Z,processed,2026-08-19T23:55:00Z
stl-000159,S-90019,MERCH-ACME,ACME26080690019,6047118,123866,22296,2026-08-06T12:44:00Z,2026-08-06T19:44:00Z,processed,2026-08-06T20:17:00Z
