case_id,settlement_id,merchant_id,razorpay_payment_ids,settlement_amount,bank_credit,fee,refund,utr,event_time,decision_time,policy_version,agent_claim
B032,S-10032,MERCH-BOLT,pay_1003200;pay_1003201;pay_1003202;pay_1003203;pay_1003204;pay_1003205;pay_1003206;pay_1003207;pay_1003208;pay_1003209,"88,368.88","88,368.88","1,810.11",0.00,BOLT26081010032,08/10/2026 08:37,2026-08-11T08:37:00Z,finance-policy-v11,RECONCILED
B033,S-10033,MERCH-BOLT,pay_1003300;pay_1003301;pay_1003302;pay_1003303;pay_1003304;pay_1003305;pay_1003306;pay_1003307;pay_1003308;pay_1003309,122275.33,122275.33,2504.62,0.00,BOLT26080610033,2026-08-06 19:41:00,2026-08-07T14:41:00Z,finance-policy-v12,RECONCILED
B034,S-10034,MERCH-CRUX,pay_1003400;pay_1003401;pay_1003402;pay_1003403;pay_1003404;pay_1003405;pay_1003406,"₹1,05,144.84","₹1,05,144.84","₹2,153.73",₹0.00,CRUX26081210034,2026-08-12T11:37:00Z,2026-08-13T13:37:00Z,finance-policy-v12,RECONCILED
B035,S-10035,MERCH-EVER,pay_1003500;pay_1003501;pay_1003502;pay_1003503;pay_1003504;pay_1003505,"Rs. 70,774.51","Rs. 70,774.51","Rs. 1,449.70",Rs. 0.00,EVER26081310035,08/13/2026 01:58,2026-08-14T03:58:00Z,finance-policy-v12,RECONCILED
B036,S-10036,MERCH-ACME,pay_1003600;pay_1003601;pay_1003602;pay_1003603;pay_1003604;pay_1003605;pay_1003606;pay_1003607;pay_1003608;pay_1003609;pay_1003610;pay_1003611,"1,52,853.72","1,52,853.72","3,130.97",0.00,ACME26081410036,2026-08-14 19:47:00,2026-08-15T11:47:00Z,finance-policy-v12,RECONCILED
B037,S-10037,MERCH-EVER,pay_1003700;pay_1003701;pay_1003702;pay_1003703;pay_1003704;pay_1003705;pay_1003706,63401.71,63401.71,1298.68,0.00,EVER26081510037,2026-08-15T22:39:00Z,2026-08-16T17:39:00Z,finance-policy-v12,RECONCILED
B038,S-10038,MERCH-CRUX,pay_1003800;pay_1003801;pay_1003802;pay_1003803;pay_1003804;pay_1003805;pay_1003806;pay_1003807;pay_1003808;pay_1003809,"₹1,52,354.26","₹1,52,354.26","₹3,409.98","₹14,121.15",CRUX26081610038,08/16/2026 08:42,2026-08-16T22:42:00Z,finance-policy-v12,RECONCILED
B039,S-10039,MERCH-CRUX,pay_1003900;pay_1003901;pay_1003902,"Rs. 24,090.80","Rs. 24,090.80",Rs. 584.00,"Rs. 4,419.88",CRUX26081710039,2026-08-17 18:56:00,2026-08-18T06:56:00Z,finance-policy-v12,RECONCILED
B040,S-10040,MERCH-BOLT,pay_1004000;pay_1004001;pay_1004002;pay_1004003,"Rs. 65,701.65","Rs. 65,701.65","Rs. 1,345.80",Rs. 0.00,BOLT26081810040,2026-08-18T18:33:00Z,2026-08-19T07:33:00Z,finance-policy-v12,RECONCILED
B041,S-10041,MERCH-ACME,pay_1004100;pay_1004101;pay_1004102;pay_1004103;pay_1004104;pay_1004105;pay_1004106;pay_1004107,"1,03,603.35","1,03,603.35","2,122.15",0.00,ACME26081910041,08/19/2026 02:00,2026-08-19T18:00:00Z,finance-policy-v12,RECONCILED
B042,S-10042,MERCH-BOLT,pay_1004200;pay_1004201;pay_1004202;pay_1004203;pay_1004204;pay_1004205;pay_1004206;pay_1004207;pay_1004208;pay_1004209,133474.53,133474.53,2734.00,0.00,BOLT26082010042,2026-08-20 17:37:00,2026-08-21T11:37:00Z,finance-policy-v12,RECONCILED
B043,S-10043,MERCH-EVER,pay_1004300;pay_1004301;pay_1004302;pay_1004303;pay_1004304;pay_1004305;pay_1004306;pay_1004307,"₹99,637.68","₹99,637.68","₹2,040.92",₹0.00,EVER26082110043,2026-08-21T19:44:00Z,2026-08-22T10:44:00Z,finance-policy-v12,RECONCILED
B044,S-10044,MERCH-EVER,pay_1004400;pay_1004401;pay_1004402;pay_1004403;pay_1004404;pay_1004405;pay_1004406;pay_1004407,"Rs. 1,15,118.87","Rs. 1,15,118.87","Rs. 2,358.02",Rs. 0.00,EVER26082210044,08/22/2026 05:54,2026-08-22T17:54:00Z,finance-policy-v12,RECONCILED
B045,S-10045,MERCH-BOLT,pay_1004500;pay_1004501;pay_1004502,"29,052.69",,595.10,0.00,BOLT26082310045,2026-08-23 21:57:00,2026-08-25T00:57:00Z,finance-policy-v12,RECONCILED
B046,S-10046,MERCH-ACME,pay_1004600;pay_1004601;pay_1004602;pay_1004603;pay_1004604;pay_1004605;pay_1004606;pay_1004607;pay_1004608,140266.73,140266.73,2873.14,0.00,ACME26082410046,2026-08-24T05:35:00Z,2026-08-24T18:35:00Z,finance-policy-v12,RECONCILED
B047,S-10047,MERCH-ACME,pay_1004700;pay_1004701;pay_1004702;pay_1004703;pay_1004704;pay_1004705;pay_1004706;pay_1004707;pay_1004708;pay_1004709;pay_1004710;pay_1004711,"₹1,51,796.32","₹1,51,796.32","₹3,109.31",₹0.00,ACME26080210047,08/02/2026 19:02,2026-08-05T15:02:00Z,finance-policy-v11,RECONCILED
B048,S-10048,MERCH-CRUX,pay_1004800;pay_1004801;pay_1004802;pay_1004803;pay_1004804;pay_1004805;pay_1004806;pay_1004807;pay_1004808;pay_1004809;pay_1004810;pay_1004811,"Rs. 1,89,966.94","Rs. 1,89,966.94","Rs. 3,891.17",Rs. 0.00,CRUX26080310048,2026-08-03 07:17:00,2026-08-04T07:17:00Z,finance-policy-v11,RECONCILED
B049,S-10049,MERCH-ACME,pay_1004900;pay_1004901;pay_1004902;pay_1004903;pay_1004904;pay_1004905;pay_1004906;pay_1004907;pay_1004908;pay_1004909,"1,44,301.83","1,44,301.83","2,955.82",0.00,ACME26080410049,2026-08-04T16:37:00Z,2026-08-05T13:37:00Z,finance-policy-v11,RECONCILED
B050,S-10050,MERCH-BOLT,pay_1005000;pay_1005001;pay_1005002;pay_1005003;pay_1005004;pay_1005005,"40,391.49","40,391.49",827.36,0.00,BOLT26080510050,08/05/2026 05:38,2026-08-07T22:38:00Z,finance-policy-v11,RECONCILED
B051,S-10051,MERCH-ACME,pay_1005100;pay_1005101;pay_1005102;pay_1005103;pay_1005104,39135.91,39135.91,844.90,0.00,ACME26080610051,2026-08-06 08:27:00,2026-08-07T04:27:00Z,finance-policy-v11,RECONCILED
B052,S-10052,MERCH-DYNE,pay_1005200;pay_1005201;pay_1005202;pay_1005203,"₹60,931.53","₹60,931.53","₹1,248.09",₹0.00,DYNE26080410052,2026-08-04T04:13:00Z,2026-08-04T16:13:00Z,finance-policy-v12,RECONCILED
B053,S-10053,MERCH-ACME,pay_1005300;pay_1005301;pay_1005302;pay_1005303;pay_1005304;pay_1005305;pay_1005306;pay_1005307;pay_1005308;pay_1005309,"Rs. 1,32,904.99","Rs. 1,32,904.99","Rs. 3,038.70",Rs. 0.00,ACME26081710053,08/17/2026 21:25,2026-08-18T09:25:00Z,finance-policy-v12,RECONCILED
B054,S-10054,MERCH-ACME,pay_1005400;pay_1005401;pay_1005402;pay_1005403;pay_1005404;pay_1005405;pay_1005406,"81,180.10","81,180.10","1,662.84",0.00,ACME26080910054,2026-08-09 14:34:00,2026-08-10T14:34:00Z,finance-policy-v11,RECONCILED
B055,S-10055,MERCH-DYNE,pay_1005500;pay_1005501;pay_1005502;pay_1005503;pay_1005504;pay_1005505;pay_1005506;pay_1005507;pay_1005508;pay_1005509;pay_1005510,125323.18,125323.18,2567.07,0.00,DYNE26081010055,2026-08-10T13:03:00Z,2026-08-11T05:03:00Z,finance-policy-v11,RECONCILED
B056,S-10056,MERCH-BOLT,pay_1005600;pay_1005601;pay_1005602;pay_1005603;pay_1005604;pay_1005605,"₹65,857.26","₹65,857.26","₹1,348.97",₹0.00,BOLT26081110056,08/11/2026 19:40,2026-08-12T15:40:00Z,finance-policy-v12,RECONCILED
B057,S-10057,MERCH-DYNE,pay_1005700;pay_1005701;pay_1005702;pay_1005703;pay_1005704;pay_1005705;pay_1005706;pay_1005707;pay_1005708;pay_1005709;pay_1005710;pay_1005711,"Rs. 1,60,248.87","Rs. 1,60,248.87","Rs. 3,459.60",Rs. 0.00,DYNE26081210057,2026-08-12 12:38:00,2026-08-13T15:38:00Z,finance-policy-v12,RECONCILED
B058,S-10058,MERCH-ACME,pay_1005800;pay_1005801;pay_1005802;pay_1005803;pay_1005804;pay_1005805;pay_1005806,"75,532.86","75,532.86","1,685.24",0.00,ACME26081310058,2026-08-13T13:28:00Z,2026-08-14T19:28:00Z,finance-policy-v12,RECONCILED
B059,S-10059,MERCH-EVER,pay_1005900;pay_1005901;pay_1005902;pay_1005903;pay_1005904;pay_1005905;pay_1005906;pay_1005907;pay_1005908;pay_1005909,141761.43,141761.43,2903.74,0.00,EVER26081410059,08/14/2026 15:25,2026-08-15T18:25:00Z,finance-policy-v12,RECONCILED
B060,S-10060,MERCH-BOLT,pay_1006000;pay_1006001;pay_1006002;pay_1006003;pay_1006004;pay_1006005;pay_1006006;pay_1006007;pay_1006008;pay_1006009;pay_1006010;pay_1006011,173786.93,173786.93,3804.69,0.00,BOLT26082410060,2026-08-24 19:32:00,2026-08-25T17:32:00Z,finance-policy-v12,RECONCILED
B061,S-10061,MERCH-ACME,,"₹60,565.59","₹60,565.59","₹1,240.59",₹0.00,ACME26081610061,2026-08-16T04:13:00Z,2026-08-16T23:13:00Z,finance-policy-v12,RECONCILED
B062,S-10062,MERCH-ACME,pay_1006200;pay_1006201;pay_1006202;pay_1006203;pay_1006204;pay_1006205;pay_1006206;pay_1006207;pay_1006208;pay_1006209;pay_1006210,"Rs. 1,66,831.34","Rs. 1,66,831.34","Rs. 3,417.30",Rs. 0.00,ACME26081710062,08/17/2026 03:14,2026-08-17T15:14:00Z,finance-policy-v12,RECONCILED
B063,S-10063,MERCH-DYNE,pay_1006300;pay_1006301;pay_1006302;pay_1006303;pay_1006304,"47,429.22","47,429.22",971.52,0.00,DYNE26081810063,2026-08-18 15:44:00,2026-08-19T04:44:00Z,finance-policy-v12,RECONCILED
B064,S-10064,MERCH-DYNE,pay_1006400;pay_1006401;pay_1006402;pay_1006403;pay_1006404,19013.88,19013.88,389.47,0.00,DYNE26081910064,2026-08-19T13:31:00Z,2026-08-20T04:31:00Z,finance-policy-v12,RECONCILED
B065,S-10065,MERCH-CRUX,pay_1006500;pay_1006501;pay_1006502;pay_1006503;pay_1006504;pay_1006505,"₹94,671.74",,"₹1,939.21",₹0.00,CRUX26082010065,08/20/2026 20:43,2026-08-21T23:43:00Z,finance-policy-v12,RECONCILED
B066,S-10066,MERCH-DYNE,pay_1006600;pay_1006601;pay_1006602;pay_1006603,"Rs. 47,270.42","Rs. 47,270.42",Rs. 968.26,Rs. 0.00,DYNE26082110066,2026-08-21 17:02:00,2026-08-22T21:02:00Z,finance-policy-v12,RECONCILED
B067,S-10067,MERCH-BOLT,pay_1006700;pay_1006701;pay_1006702;pay_1006703;pay_1006704;pay_1006705;pay_1006706;pay_1006707;pay_1006708;pay_1006709,"95,187.05","95,187.05","2,041.61",0.00,BOLT26081910067,2026-08-19T13:03:00Z,2026-08-20T11:03:00Z,finance-policy-v12,RECONCILED
B068,S-10068,MERCH-DYNE,pay_1006800;pay_1006801;pay_1006802;pay_1006803;pay_1006804;pay_1006805;pay_1006806;pay_1006807,88223.89,88223.89,1904.66,0.00,DYNE26082310068,08/23/2026 05:18,2026-08-24T05:18:00Z,finance-policy-v12,RECONCILED
B069,S-10069,MERCH-CRUX,pay_1006900;pay_1006901;pay_1006902;pay_1006903;pay_1006904;pay_1006905;pay_1006906;pay_1006907;pay_1006908;pay_1006909;pay_1006910;pay_1006911,"₹1,93,677.18","₹1,93,677.18","₹4,181.28",₹0.00,CRUX26082410069,2026-08-24 03:50:00,2026-08-24T18:50:00Z,finance-policy-v12,RECONCILED
B070,S-10070,MERCH-BOLT,pay_1007000;pay_1007001;pay_1007002;pay_1007003;pay_1007004;pay_1007005;pay_1007006;pay_1007007;pay_1007008;pay_1007009,"₹1,47,662.43","₹1,47,662.43","₹3,024.64",₹0.00,BOLT26080210070,2026-08-02T11:40:00Z,2026-08-03T02:40:00Z,finance-policy-v11,RECONCILED
B071,S-10071,MERCH-EVER,pay_1007100;pay_1007101;pay_1007102;pay_1007103;pay_1007104;pay_1007105,"Rs. 94,200.63","Rs. 94,200.63","Rs. 1,929.56",Rs. 0.00,EVER26080310071,08/03/2026 19:56,2026-08-04T15:56:00Z,finance-policy-v11,RECONCILED
B072,S-10072,MERCH-CRUX,pay_1007200;pay_1007201;pay_1007202;pay_1007203;pay_1007204;pay_1007205;pay_1007206,"77,106.04","77,106.04","1,987.75","19,935.34",CRUX26080410072,2026-08-04 02:14:00,2026-08-04T19:14:00Z,finance-policy-v11,RECONCILED
B073,S-10073,MERCH-CRUX,pay_1007300;pay_1007301;pay_1007302;pay_1007303,56434.35,56434.35,1155.97,0.00,CRUX26080510073,2026-08-05T04:46:00Z,2026-08-09T00:46:00Z,finance-policy-v11,RECONCILED
B074,S-10074,MERCH-CRUX,pay_1007400;pay_1007401;pay_1007402;pay_1007403;pay_1007404;pay_1007405;pay_1007406;pay_1007407;pay_1007408,"₹88,176.52","₹88,176.52","₹1,806.15",₹0.00,CRUX26080610074,08/06/2026 06:47,2026-08-06T22:47:00Z,finance-policy-v11,RECONCILED
B075,S-10075,MERCH-ACME,pay_1007500;pay_1007501;pay_1007502;pay_1007503;pay_1007504;pay_1007505;pay_1007506;pay_1007507,"Rs. 81,855.73","Rs. 81,855.73","Rs. 1,676.68",Rs. 0.00,ACME26080710075,2026-08-07 04:24:00,2026-08-08T08:24:00Z,finance-policy-v11,RECONCILED
B076,S-10076,MERCH-ACME,pay_1007600;pay_1007601;pay_1007602;pay_1007603,"42,483.36","42,483.36",917.17,0.00,ACME26080810076,2026-08-08T10:21:00Z,2026-08-09T12:21:00Z,finance-policy-v11,RECONCILED
B077,S-10077,MERCH-EVER,,102902.67,102902.67,2107.80,0.00,EVER26080910077,08/09/2026 22:45,2026-08-10T23:45:00Z,finance-policy-v11,RECONCILED
B078,S-10078,MERCH-CRUX,pay_1007800;pay_1007801;pay_1007802;pay_1007803;pay_1007804;pay_1007805;pay_1007806;pay_1007807,"₹93,237.97","₹93,237.97","₹1,909.82",₹0.00,CRUX26081010078,2026-08-10 01:11:00,2026-08-10T23:11:00Z,finance-policy-v11,RECONCILED
B079,S-10079,MERCH-BOLT,pay_1007900;pay_1007901;pay_1007902;pay_1007903;pay_1007904,"Rs. 56,701.97","Rs. 56,701.97","Rs. 1,161.46",Rs. 0.00,BOLT26081110079,2026-08-11T22:05:00Z,2026-08-12T20:05:00Z,finance-policy-v12,RECONCILED
B080,S-10080,MERCH-DYNE,pay_1008000;pay_1008001;pay_1008002;pay_1008003;pay_1008004;pay_1008005;pay_1008006;pay_1008007;pay_1008008,"Rs. 1,27,003.01","Rs. 1,27,003.01","Rs. 2,601.46",Rs. 0.00,DYNE26081210080,08/12/2026 04:27,2026-08-13T03:27:00Z,finance-policy-v12,RECONCILED
B081,S-10081,MERCH-CRUX,pay_1008100;pay_1008101;pay_1008102;pay_1008103;pay_1008104;pay_1008105;pay_1008106,"96,496.00","96,496.00","1,976.57",0.00,CRUX26081310081,2026-08-13 19:07:00,2026-08-14T11:07:00Z,finance-policy-v12,RECONCILED
B082,S-10082,MERCH-ACME,pay_1008200;pay_1008201;pay_1008202;pay_1008203;pay_1008204;pay_1008205;pay_1008206;pay_1008207,122381.00,122381.00,2506.79,0.00,ACME26081410082,2026-08-14T03:38:00Z,2026-08-17T12:38:00Z,finance-policy-v12,RECONCILED
B083,S-10083,MERCH-DYNE,pay_1008300;pay_1008301;pay_1008302;pay_1008303;pay_1008304;pay_1008305,"₹78,819.62","₹78,819.62","₹1,614.50",₹0.00,DYNE26081510083,08/15/2026 01:09,2026-08-16T02:09:00Z,finance-policy-v12,RECONCILED
B084,S-10084,MERCH-CRUX,pay_1008400;pay_1008401;pay_1008402;pay_1008403,"Rs. 60,919.13","Rs. 60,919.13","Rs. 1,247.84",Rs. 0.00,CRUX26081610084,2026-08-16 03:31:00,2026-08-16T20:31:00Z,finance-policy-v12,RECONCILED
B085,S-10085,MERCH-ACME,pay_1008500;pay_1008501;pay_1008502;pay_1008503;pay_1008504;pay_1008505;pay_1008506;pay_1008507;pay_1008508;pay_1008509;pay_1008510;pay_1008511,"1,58,346.86","1,58,346.86","3,243.49",0.00,ACME26081710085,2026-08-17T21:46:00Z,2026-08-18T21:46:00Z,finance-policy-v12,RECONCILED
B086,S-10086,MERCH-BOLT,pay_1008600;pay_1008601;pay_1008602,32966.47,32966.47,675.27,0.00,BOLT26081810086,08/18/2026 19:05,2026-08-21T08:05:00Z,finance-policy-v12,RECONCILED
B087,S-10087,MERCH-DYNE,pay_1008700;pay_1008701;pay_1008702;pay_1008703;pay_1008704;pay_1008705;pay_1008706,"₹89,081.02","₹89,081.02","₹1,987.52",₹0.00,DYNE26081910087,2026-08-19 10:17:00,2026-08-20T02:17:00Z,finance-policy-v12,RECONCILED
B088,S-10088,MERCH-CRUX,pay_1008800;pay_1008801;pay_1008802;pay_1008803;pay_1008804;pay_1008805,"Rs. 64,353.87","Rs. 64,353.87","Rs. 1,501.87",Rs. 0.00,CRUX26081610088,2026-08-16T16:40:00Z,2026-08-17T06:40:00Z,finance-policy-v12,RECONCILED
B089,S-10089,MERCH-CRUX,pay_1008900;pay_1008901;pay_1008902;pay_1008903;pay_1008904;pay_1008905;pay_1008906;pay_1008907;pay_1008908;pay_1008909;pay_1008910;pay_1008911,"1,75,964.11","1,75,964.11","3,788.04",0.00,CRUX26081710089,08/17/2026 15:47,2026-08-18T06:47:00Z,finance-policy-v12,RECONCILED
B090,S-10090,MERCH-ACME,pay_1009000;pay_1009001;pay_1009002;pay_1009003;pay_1009004;pay_1009005;pay_1009006;pay_1009007;pay_1009008;pay_1009009;pay_1009010;pay_1009011,"1,35,360.39","1,35,360.39","2,772.64",0.00,ACME26082210090,2026-08-22 19:43:00,2026-08-24T00:43:00Z,finance-policy-v12,RECONCILED
B091,S-10091,MERCH-ACME,pay_1009100;pay_1009101;pay_1009102;pay_1009103;pay_1009104;pay_1009105;pay_1009106,61813.81,61813.81,1266.17,0.00,ACME26082310091,2026-08-23T18:37:00Z,2026-08-27T19:37:00Z,finance-policy-v12,RECONCILED
B092,S-10092,MERCH-BOLT,pay_1009200;pay_1009201;pay_1009202;pay_1009203;pay_1009204;pay_1009205;pay_1009206;pay_1009207;pay_1009208;pay_1009209,"₹94,385.56","₹94,385.56","₹2,055.80",₹0.00,BOLT26081110092,08/11/2026 10:00,2026-08-12T09:15:00Z,finance-policy-v12,RECONCILED
